feature,importance
left_rel_y_12,0.016498036881933253
left_pair_3_18,0.015277175618066694
left_pair_0_12,0.014854947225344856
left_pair_0_16,0.013441913872492139
left_pair_0_8,0.013133590558542694
left_rel_y_4,0.012060332556752304
left_pair_8_16,0.011346289592314273
left_pair_1_16,0.011225105344350454
left_pair_8_20,0.011058892766638575
left_pair_12_20,0.010966419291148277
left_pair_4_20,0.010946119234531917
left_pair_4_10,0.010890832549839588
left_rel_y_3,0.010838098196562538
left_pair_1_12,0.010706342971323916
left_rel_x_4,0.010649805648247086
left_pair_4_14,0.010588817331234268
left_pair_12_16,0.010250972276892267
left_pair_2_20,0.010067606018721566
left_pair_12_13,0.00990072505084496
left_rel_x_12,0.009764724950290253
left_rel_y_8,0.00969273267679252
left_rel_y_11,0.009310329444169109
left_pair_4_18,0.009221410718860444
left_pair_8_12,0.009211293502984507
left_pair_1_8,0.008893388081823647
left_pair_9_12,0.00882344295385249
left_pair_8_19,0.008784039011826226
left_pair_12_19,0.008679181559250472
left_pair_7_19,0.008484037960618552
left_pair_11_16,0.008388072484598438
left_rel_y_16,0.00830838042023503
left_pair_4_19,0.008275772453600578
left_pair_3_19,0.00817483502980817
left_pair_5_8,0.008122415126317844
left_pair_16_20,0.008034851990765294
left_pair_13_16,0.00796391521517978
left_rel_x_20,0.007897396947613267
left_pair_0_11,0.007794322916273312
left_pair_9_17,0.007766688565258623
left_rel_y_17,0.007759852967532157
left_pair_12_18,0.007729276068378195
left_pair_9_16,0.0077104083296405
left_rel_x_16,0.007623703426574154
left_pair_4_15,0.007594468431144203
left_pair_3_20,0.007550638626523427
left_pair_3_12,0.00721037951246423
left_pair_0_20,0.007168835371397027
left_pair_12_14,0.006993979682045896
left_pair_11_14,0.006946614666729566
left_rel_y_13,0.00688189094295252
left_rel_y_15,0.006692977121906023
left_pair_11_15,0.006552752573886046
left_pair_8_15,0.006529387284507079
left_pair_7_12,0.006512922320835539
left_pair_8_11,0.006499905243621874
left_pair_4_16,0.006308260136983563
left_pair_8_9,0.0061489759199368854
left_pair_12_17,0.00613594928713707
left_pair_3_16,0.006129304231266684
left_pair_11_20,0.006126607569569149
left_pair_16_17,0.006120806944437275
left_pair_2_19,0.006106692583614222
left_pair_2_16,0.006026687593013461
left_pair_2_12,0.005969314349871371
left_pair_15_18,0.005840275002112367
left_pair_1_11,0.0057915013619965735
left_pair_7_15,0.005678901537850699
left_pair_11_18,0.005647690717009955
left_pair_7_11,0.005405881912933763
left_rel_x_3,0.005381362381860524
left_orient_cos,0.005304424843599524
left_pair_8_10,0.005281484577810197
left_pair_12_15,0.005248122306974644
left_pair_7_16,0.005237098880488281
left_pair_2_8,0.005212633893536306
left_pair_1_20,0.005144721262684938
left_pair_0_3,0.00496498359046867
left_pair_15_20,0.004954069010488184
left_pair_7_20,0.0048920279423608545
left_pair_16_19,0.004825281301999392
left_rel_x_8,0.004811103984861726
left_pair_2_18,0.004775543379609632
left_pair_3_14,0.00475215604917317
left_pair_5_17,0.004698747019696575
left_pair_4_8,0.00469201146658423
left_rel_y_7,0.00458433604448976
left_pair_2_15,0.00448683217877596
left_pair_4_12,0.004462704162814803
left_rel_y_19,0.004410680755183189
left_pair_0_2,0.004394939255746597
left_rel_y_20,0.00438865100165146
left_pair_4_6,0.004376206967670465
left_pair_11_19,0.004289518768638901
left_rel_y_14,0.004250025172742402
left_pair_7_10,0.004203871072769677
left_pair_0_15,0.004196522722756333
left_pair_1_15,0.004189026087886189
left_pair_16_18,0.004102441855231091
left_pair_1_7,0.004091374240505871
left_pair_8_13,0.004085188169041465
left_pair_9_13,0.0040438214146139035
left_pair_17_20,0.004031524453478425
left_pair_4_9,0.004023175461535187
left_rel_y_2,0.00400605183185415
left_pair_4_13,0.00395164945723236
left_pair_19_20,0.003903036109010803
left_pair_5_13,0.003891508758538926
left_orient_sin,0.0038838216020689385
left_pair_3_4,0.0038621085755201562
left_pair_4_11,0.0038317180695248234
left_pair_8_18,0.003791472214422992
left_pair_0_19,0.0037879922060269633
left_pair_13_17,0.00376549290053871
left_pair_18_19,0.003735669949122089
left_pair_5_16,0.0037013386254173886
left_pair_0_7,0.0035577329476897727
left_pair_6_8,0.0034934225220546017
left_pair_15_19,0.003471706137918297
left_pair_0_4,0.0034295178618843534
left_pair_18_20,0.0033688623790901167
left_pair_5_12,0.0033630634611701094
left_rel_x_5,0.0033433968372151763
left_pair_7_18,0.003317887690669109
left_rel_y_18,0.0032893118351365234
left_pair_14_15,0.00325761468944179
left_rel_x_6,0.003219414305677097
left_pair_11_13,0.003216700385795568
left_pair_2_4,0.0031381536108283535
left_rel_x_2,0.00313487736513486
left_pair_3_17,0.0031039450103830667
left_pair_3_10,0.00301321383792625
left_pair_4_17,0.0029966933260505623
left_pair_9_15,0.0029408390721800183
left_pair_11_17,0.0028423981921371438
left_pair_4_7,0.0028240101751867428
left_pair_8_14,0.0028031706459096238
left_pair_3_15,0.0027608773624876884
left_rel_x_7,0.0026437867255425366
left_pair_15_17,0.002622841817799086
left_rel_x_11,0.0026149790294378015
left_rel_y_1,0.0025689870603906387
left_pair_10_11,0.0024869589281464066
left_pair_3_8,0.0024650604407022688
left_rel_y_10,0.002262528765918335
left_pair_1_4,0.002253302215423782
left_pair_9_11,0.002196159366265643
left_pair_6_16,0.0021797862968274046
left_pair_3_11,0.002170792415711792
left_pair_2_17,0.002167709703291645
left_pair_6_7,0.002166672993633436
left_pair_5_15,0.0021476772262774614
left_pair_8_17,0.0021206232007366385
left_pair_2_5,0.0020976572656364718
left_pair_1_2,0.0020950753218884266
left_pair_5_20,0.0020930026607492587
left_pair_13_20,0.002074276263674438
left_pair_1_19,0.002064830544393484
left_pair_5_7,0.0020587202994899415
left_rel_x_19,0.0020045068990794373
left_pair_13_15,0.0019138694455883346
left_pair_0_1,0.0019021062387744783
left_pair_1_5,0.0018932757745414824
left_pair_3_13,0.001867910475729056
left_pair_6_19,0.0018592806240560144
left_pair_2_11,0.0018518640963380406
left_pair_0_5,0.0017877181220990865
left_pair_7_17,0.0017770374123158544
left_pair_5_11,0.0017412205860448209
left_pair_6_18,0.0017408227574841667
left_pair_5_9,0.001645692108829564
left_pair_1_3,0.0016409157672089827
left_pair_2_7,0.0016118301909183036
left_pair_2_9,0.0016066435733007875
left_pair_10_14,0.001586652702331234
left_pair_17_19,0.001582104819094372
left_pair_14_16,0.0015734540010902637
left_pair_5_18,0.0015640668418533275
left_pair_3_5,0.0015615740207535259
left_pair_7_14,0.0015085700837595595
