feature,importance
left_rel_y_10,0.014666635712910062
left_rel_y_11,0.014474400848700764
left_rel_x_1,0.009070666583483855
left_rel_y_12,0.008773309210460349
left_rel_x_2,0.008619138762719402
left_rel_y_16,0.008573847142511895
right_rel_y_15,0.008540062318361505
left_rel_y_8,0.008515877177884837
left_pair_12_16,0.008074837927428403
left_rel_y_5,0.007766850756616583
left_pair_11_15,0.007704962898425906
right_rel_y_11,0.0074731564137092525
left_pair_12_15,0.007437555814248257
left_pair_11_16,0.007152871355567339
right_rel_y_10,0.007120842041080173
left_rel_y_14,0.007083081918750695
left_rel_y_7,0.00683179763430484
left_rel_y_3,0.006538586033723652
left_rel_y_15,0.006410451993176742
left_rel_y_2,0.006252613329131351
right_rel_x_19,0.006233959044080995
right_pair_0_8,0.005894665145597273
right_pair_12_17,0.0058908320239580095
right_rel_x_10,0.005807980912095248
left_rel_y_4,0.005735436916915151
left_pair_8_12,0.005721132768247123
right_rel_x_11,0.005706184725903528
left_pair_8_11,0.005683968107168987
right_pair_0_7,0.005590585074628281
right_pair_7_16,0.005559372073862694
left_pair_1_12,0.0054944929570449885
left_pair_1_7,0.005431060961866995
right_rel_y_8,0.0053939811388917895
left_rel_y_20,0.005356369657874072
right_rel_y_12,0.005355869279355639
right_pair_0_12,0.005311891261534969
left_pair_1_8,0.0052732464165078175
right_rel_x_20,0.005219664976466592
left_rel_y_9,0.0052099066594281105
right_rel_y_4,0.005149309492996266
right_rel_x_5,0.005110484978926415
right_rel_x_13,0.005010343015718106
right_rel_x_16,0.004996401545085642
right_rel_y_14,0.004985182060892925
left_pair_3_8,0.004946572658870124
right_rel_y_3,0.0049194981551650314
left_rel_y_6,0.004779415990456019
left_pair_15_19,0.004642662656959228
right_rel_x_6,0.0045935952126035465
right_pair_8_12,0.004586228861991685
left_pair_7_11,0.004361065119342175
left_pair_10_15,0.00429025075268073
right_pair_5_7,0.004257527292664442
right_pair_0_11,0.004220734753871123
right_rel_x_15,0.004203935779502349
left_pair_11_19,0.004181646839706328
right_rel_x_12,0.00412407068530657
right_rel_x_8,0.004081497642869654
right_pair_7_11,0.00407971701677044
right_rel_x_14,0.004006265426773679
right_rel_y_1,0.00395718029560008
left_rel_x_13,0.003946721051768354
right_rel_x_7,0.003911857753780878
left_pair_7_16,0.0038482833758923087
right_rel_y_16,0.003818895658053886
left_pair_2_12,0.0038130764893395015
left_orient_sin,0.003807291826682256
right_rel_x_17,0.0038046755976324583
left_pair_0_16,0.0037856346867887066
left_pair_3_7,0.0037746959065309863
left_pair_4_7,0.003766608322950207
left_pair_12_20,0.003736503616005893
right_rel_y_20,0.0037214907681741654
left_rel_y_19,0.0037127938683387297
left_pair_7_12,0.0037038805878791404
left_pair_4_8,0.0036951204110827122
left_rel_x_17,0.003675601503937246
left_pair_0_12,0.0035641547820492573
left_pair_12_19,0.003553397394299816
left_rel_x_3,0.0035234958274445363
right_rel_x_4,0.00351275058595681
left_pair_8_16,0.003505269056633713
left_pair_13_15,0.0034360277146448974
left_pair_6_10,0.003410435165896909
right_rel_y_7,0.0033871251926914847
left_pair_2_8,0.003386762827705871
left_pair_3_6,0.0033303868960683036
left_pair_15_20,0.0033256311831951326
right_pair_1_12,0.00330515904547073
right_rel_x_2,0.003268017096748949
left_pair_2_7,0.003244874640237122
right_rel_y_2,0.0032208328119865577
right_rel_x_9,0.003212819956664365
left_pair_16_20,0.0031784418610899517
right_pair_8_13,0.003174872731559524
right_rel_x_18,0.0031709513017471004
left_rel_x_4,0.0031587159415213005
left_rel_y_13,0.0030963051951815
left_pair_8_20,0.0030728358016754694
right_rel_x_3,0.0030344960453741188
right_pair_2_8,0.002981114786084188
left_pair_8_15,0.0029426558560458655
left_rel_y_18,0.002894926368091073
right_pair_3_8,0.002884065854127434
right_pair_12_19,0.0028561694179307455
left_pair_17_19,0.0028321753504388604
right_pair_7_9,0.0028230197488598335
left_rel_x_9,0.00281051531862121
right_pair_16_19,0.002807914644989047
right_pair_8_11,0.0028078878668627984
left_pair_11_20,0.0027610141317429187
left_pair_2_6,0.0027573950238537538
left_pair_4_10,0.0027401553983378273
right_rel_y_6,0.002660095727354258
left_pair_13_16,0.0026435483873645006
left_pair_16_18,0.0026427874074703623
right_pair_7_12,0.0026324571909847956
right_pair_10_15,0.0026063085925748584
right_pair_2_12,0.0025942784271932072
left_pair_12_18,0.0025893431605019273
right_pair_4_10,0.0025884751663344395
left_pair_1_6,0.0025703204643261262
left_pair_11_13,0.0025561926916600895
right_pair_11_17,0.0025022793860480317
left_pair_9_12,0.0024918952989584327
right_pair_1_16,0.002476877883885902
left_pair_16_19,0.0024535778795462277
left_rel_x_5,0.002450011895900149
left_rel_x_12,0.002445434011337314
right_pair_1_8,0.002444172872615031
right_pair_8_16,0.0024222184307452414
right_pair_4_9,0.002415519546954122
left_pair_7_10,0.002407252945773317
right_pair_5_13,0.0023970682225459977
right_pair_12_18,0.002372612449800757
right_pair_12_13,0.002321926455307905
left_pair_12_13,0.0022983891709506916
left_pair_10_11,0.0022887026899628027
left_rel_y_1,0.002281980452330781
right_pair_0_3,0.002271552734267313
right_pair_0_16,0.002256564309818725
left_pair_15_17,0.0022558272825388337
right_pair_5_9,0.0022553732861784357
left_pair_9_16,0.0022382344583474446
left_rel_x_11,0.0022309074103925527
right_pair_3_11,0.0022217853320204654
left_pair_4_6,0.002195580894711055
right_pair_3_13,0.002193887083607836
right_pair_5_17,0.002186483235909699
left_pair_10_16,0.0021765645310280212
right_pair_11_13,0.0021483314946265618
right_pair_1_7,0.0021410812259100337
right_pair_0_20,0.0021327378024253415
right_rel_y_5,0.002097420631953571
right_pair_15_18,0.0020779964174144423
left_pair_5_15,0.002071760603389933
right_pair_3_6,0.0020643393207504437
left_pair_14_19,0.002062015781421818
right_pair_6_10,0.002022640747522214
left_pair_10_14,0.0020187796984659856
left_pair_13_14,0.0020150345125634576
left_pair_8_14,0.002008099993894851
right_pair_5_8,0.002000858615822916
right_pair_15_17,0.001999291748436804
right_pair_2_17,0.0019941813383271027
left_pair_14_18,0.001977005034592208
left_pair_9_11,0.00196565075291168
left_pair_9_20,0.0019392829144370442
left_pair_15_18,0.001932211526379251
right_pair_4_8,0.0019270125926619313
left_pair_5_9,0.0019259862300090055
left_pair_8_19,0.001901043608526712
right_pair_6_15,0.001899986399724471
right_pair_6_20,0.0018985822101398916
right_pair_0_4,0.001897794314574197
left_pair_13_20,0.0018963275756684658
right_pair_9_11,0.0018913573623932168
left_pair_6_15,0.0018763260606698535
right_rel_y_19,0.001863390751978074
left_pair_16_17,0.0018582845660587055
right_pair_0_15,0.0018534680875159388
left_pair_5_16,0.0018362751918928096
right_pair_9_13,0.001819900077926179
left_rel_y_17,0.0018066978154669614
right_pair_6_12,0.0018057793093581285
right_pair_8_9,0.0017809908710043059
right_pair_4_12,0.001753054042496765
left_pair_8_10,0.0017461695589180524
left_pair_1_11,0.0017439945910130814
right_pair_7_20,0.0017329015183246083
right_pair_11_20,0.0017307030322340985
right_rel_x_1,0.001727024958958235
left_pair_0_8,0.0017128985672794533
right_pair_3_17,0.0017071563268357417
right_pair_8_17,0.0016977015021075056
right_pair_12_16,0.0016938681297196333
right_rel_y_13,0.0016902753418743604
right_pair_1_11,0.001680614326185543
left_pair_6_16,0.0016790652831617362
left_pair_2_13,0.0016752661698235724
left_pair_3_10,0.0016683351510649053
left_pair_12_14,0.0016634828265645382
right_pair_4_11,0.0016587075427078792
left_pair_7_15,0.0016477950550872985
left_pair_9_19,0.0016443594552846396
right_pair_15_20,0.0016426512071948845
left_pair_0_10,0.0016248492695049588
right_pair_11_14,0.0016229041216709434
right_pair_0_19,0.001604446335647317
right_pair_1_20,0.001602362232067823
left_pair_13_19,0.0015985146445835225
left_pair_11_18,0.001594628745924471
left_pair_6_14,0.0015941714866558846
left_pair_0_11,0.001579337446225918
left_pair_1_17,0.0015767594320603795
left_pair_6_11,0.0015748058540491583
left_pair_7_20,0.001572869759354446
left_pair_0_5,0.0015727651402965242
left_pair_2_3,0.0015664281510127582
right_pair_6_19,0.0015609879489284187
left_pair_9_14,0.001559452674945195
left_pair_9_15,0.0015581741392633513
right_pair_16_17,0.0015535579478300357
right_pair_0_2,0.0015498962744111056
left_pair_17_20,0.0015476213454376805
left_pair_1_13,0.0015365800930126224
left_pair_3_12,0.0015332537923732677
right_pair_11_18,0.001530924185057989
left_pair_14_15,0.0015249553543852199
left_pair_11_17,0.001524897744858186
right_orient_cos,0.0015126558372623453
left_pair_1_3,0.0015039306279428302
right_pair_10_20,0.0015030029720675465
right_pair_3_10,0.001502323734249589
right_pair_0_18,0.0014882402171493728
left_rel_x_6,0.00146508828785739
right_pair_3_9,0.001464980123061225
right_pair_4_13,0.0014574723409091362
right_pair_3_12,0.001454828956696769
left_pair_9_10,0.0014544502711234144
right_pair_3_7,0.0014470882815837108
left_pair_12_17,0.001446044796722865
right_pair_4_14,0.0014447536711538805
left_pair_1_2,0.0013884719999368545
left_pair_0_3,0.0013868376711731164
left_pair_17_18,0.0013820260952440938
right_pair_11_15,0.001373143542759995
right_pair_14_20,0.0013725331669097874
right_pair_0_6,0.001371704594056704
right_pair_10_13,0.0013618264623984815
right_pair_7_13,0.0013587228284058963
left_pair_0_4,0.0013413122525268626
left_pair_18_20,0.001337842263534712
right_pair_10_17,0.001336203405933504
left_pair_2_17,0.0013181735798235897
right_rel_y_17,0.0013170382908894937
left_pair_11_14,0.0013133746957498197
left_pair_2_16,0.0012992800577047556
right_pair_2_16,0.0012908981351868337
right_pair_1_4,0.001284226515463103
left_pair_0_7,0.0012778186995499779
left_pair_4_12,0.0012691200578907645
right_pair_11_16,0.0012657335712144948
right_pair_14_18,0.00126567049529226
left_pair_1_16,0.0012641035632412223
left_rel_x_7,0.0012561245061686978
right_pair_12_20,0.0012525143105902837
left_rel_x_8,0.0012505260129922714
right_pair_0_1,0.0012502816493582963
left_pair_7_14,0.0012487268556131822
left_pair_8_18,0.0012484661716918625
right_pair_4_7,0.001240579953010767
left_pair_5_20,0.0012267822160476633
left_pair_9_13,0.0012266590552694858
right_pair_7_15,0.0012265548906520546
left_pair_2_10,0.00121761821612504
right_rel_y_18,0.0012140303509165767
right_pair_4_17,0.0012125597827456805
left_pair_10_19,0.001208115149281461
right_pair_16_18,0.001204976411559963
left_pair_4_9,0.001190864113038844
left_pair_5_13,0.0011870995075339522
right_pair_14_19,0.0011810815046259479
left_pair_3_9,0.001165279052908514
right_pair_8_18,0.001135576366148452
right_pair_16_20,0.0011350319332743824
left_pair_10_20,0.0011348985005343421
right_pair_5_12,0.001132933001589207
right_pair_3_20,0.0011327680371231916
right_pair_6_11,0.001130580646394898
right_pair_11_19,0.001130460242900242
left_pair_0_15,0.0011304440358728333
left_pair_13_18,0.0011218299532389476
right_pair_15_19,0.001118159270495359
right_pair_17_18,0.0011177772892248486
left_rel_x_10,0.0011172178223635854
left_pair_0_13,0.001101321527486624
left_pair_7_18,0.001098725047581551
left_pair_10_18,0.0010965917552519864
right_pair_12_14,0.0010960557366958327
left_pair_5_11,0.0010939638360604217
right_pair_0_5,0.001092454838347547
right_pair_9_12,0.001088484051792053
left_pair_0_1,0.001082061934058912
right_pair_6_9,0.0010790647866382966
right_pair_4_5,0.0010705644790882257
right_pair_6_14,0.0010662810248364598
right_pair_7_17,0.0010661158036921155
left_pair_5_12,0.0010660245005949143
left_pair_6_19,0.0010603497829048945
left_pair_6_18,0.0010564731299225242
right_pair_8_20,0.0010416445793689376
right_pair_1_3,0.0010398835398997572
left_pair_6_12,0.0010372440842946718
right_pair_1_15,0.0010277015660879807
left_pair_5_14,0.0010251545286080082
right_pair_8_15,0.00102500738504705
right_pair_7_19,0.0010224054609908673
left_pair_8_17,0.0010125171757120151
right_pair_5_18,0.0010015935645606212
right_pair_6_17,0.0009998382922025775
right_pair_2_14,0.0009901890445028162
left_pair_14_16,0.0009830075414732832
right_pair_2_10,0.0009826300230864205
left_rel_x_16,0.000979327137297507
left_pair_2_14,0.0009763025117117463
right_pair_9_17,0.0009667479550088924
right_pair_2_11,0.0009611925061931069
left_pair_1_4,0.0009555105281630672
left_pair_7_17,0.0009364264002747788
left_pair_2_15,0.0009337003452252351
left_pair_15_16,0.0009259635338179114
